        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_4/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                  -7.8633202e-32
               0.0269612                  -1.0275933e-31
                0.028887                   2.0444955e-16
               0.0308128                   8.8611548e-31
               0.0327386                  -4.0889909e-16
               0.0346644                   1.5771936e-16
               0.0365902                   3.1543634e-16
                0.038516                   8.1779819e-16
               0.0404418                   1.8692662e-16
               0.0423676                   8.1779813e-16
               0.0442934                   8.1779819e-16
               0.0462192                   1.1980594e-29
                0.048145                  -7.4770203e-16
               0.0500708                  -7.4770203e-16
               0.0519966                   1.3785779e-15
               0.0539224                   3.2711925e-15
               0.0558482                   3.7852412e-15
                0.057774                  -4.6731655e-16
               0.0596998                  -7.2900865e-15
               0.0616256                  -5.0469814e-15
               0.0635514                   4.1123467e-15
               0.0654772                   4.1123467e-15
                0.067403                   1.0093963e-14
               0.0693288                  -5.9816518e-15
               0.0712546                  -5.2339084e-14
               0.0731804                   -2.205725e-14
               0.0751062                   6.4302316e-14
                0.077032                   3.5129487e-28
               0.0789578                  -8.4490276e-14
               0.0808836                  -4.0376156e-14
               0.0828094                  -3.2898773e-14
               0.0847352                    -1.26947e-28
                0.086661                    9.570586e-14
               0.0885868                   2.3328277e-13
               0.0905126                  -4.1871267e-13
               0.0924384                   1.9141172e-13
               0.0943642                   4.1871267e-13
                 0.09629                  -8.3742534e-13
               0.0982158                   5.1720555e-28
               0.1001416                   9.3313107e-13
               0.1020674                   7.0583199e-13
               0.1039932                  -7.6564688e-13
                0.105919                   1.4116638e-12
               0.1078448                    2.584056e-12
               0.1097706                  -1.2920272e-12
               0.1116964                   7.6565143e-13
               0.1136222                  -1.5312938e-12
                0.115548                   4.0308651e-27
               0.1174738                   6.6994028e-12
               0.1193996                   1.3398806e-11
               0.1213254                   8.2306965e-12
               0.1232512                   -6.125175e-12
                0.125177                   3.0626057e-12
               0.1271028                   2.0672448e-11
               0.1290286                   1.0336218e-11
               0.1309544                   1.9204854e-25
               0.1328802                   2.0672436e-11
                0.134806                   5.3595222e-11
               0.1367318                   6.7677422e-25
               0.1386576                  -1.2250423e-11
               0.1405834                  -7.7799885e-26
               0.1425092                   1.0719044e-10
                0.144435                   3.3688344e-11
               0.1463608                   1.9710378e-24
               0.1482866                  -8.2689744e-11
               0.1502124                  -2.1438089e-10
               0.1521382                  -1.5869405e-24
                0.154064                   2.6338229e-10
               0.1559898                   6.0487164e-24
               0.1579156                  -4.2876178e-10
               0.1598414                    1.960056e-10
               0.1617672                   1.0535292e-09
                0.163693                   1.9800885e-23
               0.1656188                  -1.9600677e-10
               0.1675446                  -4.2760536e-25
               0.1694704                   6.6151795e-10
               0.1713962                  -1.7150471e-09
                0.173322                   3.9201353e-10
               0.1752478                   2.1070583e-09
               0.1771736                   2.6460731e-09
               0.1790994                  -3.4300942e-09
               0.1810252                   -1.078027e-09
                0.182951                  -7.7023962e-23
               0.1848768                  -3.1360896e-09
               0.1868026                  -6.8601884e-09
               0.1887284                  -1.3720377e-08
               0.1906542                  -8.4282332e-09
                 0.19258                   1.3720377e-08
               0.1945058                   2.7440754e-08
               0.1964316                   4.1549501e-22
               0.1983574                  -2.2148619e-08
               0.2002832                  -7.0002946e-22
                0.202209                   2.7440754e-08
               0.2041348                  -1.0584367e-08
               0.2060606                  -1.0584367e-08
               0.2079864                  -2.1168574e-08
               0.2099122                   1.2544358e-08
                0.211838                  -1.2544433e-08
               0.2137638                  -1.0976301e-07
               0.2156896                   1.0976301e-07
               0.2176154                   8.4674298e-08
               0.2195412                  -1.0976301e-07
                0.221467                  -1.2654696e-21
               0.2233928                   8.4674298e-08
               0.2253186                    1.693487e-07
               0.2272444                   2.6970346e-07
               0.2291702                   1.4426001e-07
                0.231096                  -4.3905206e-07
               0.2330218                  -2.6970346e-07
               0.2349476                   4.3905203e-07
               0.2368734                  -1.0035546e-07
               0.2387992                   2.8852003e-07
                0.240725                   3.7005918e-07
               0.2426508                   3.3869719e-07
               0.2445766                   2.7597491e-07
               0.2465024                   5.7704005e-07
               0.2484282                  -9.1746871e-22
