        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_2/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                   9.3462727e-17
               0.0231096                   8.1779819e-16
               0.0250354                   8.0539802e-30
               0.0269612                   4.6731364e-17
                0.028887                   8.1779819e-16
               0.0308128                   9.3462727e-17
               0.0327386                  -9.3462727e-17
               0.0346644                  -7.2433546e-16
               0.0365902                   8.6452947e-16
                0.038516                   9.2739696e-30
               0.0404418                   1.8729056e-29
               0.0423676                   1.8729056e-29
               0.0442934                   5.6139462e-30
               0.0462192                   7.4770182e-16
                0.048145                  -2.1496396e-15
               0.0500708                  -2.8973418e-15
               0.0519966                  -5.9761068e-30
               0.0539224                   6.4784413e-29
               0.0558482                  -5.7946837e-15
                0.057774                  -1.1589367e-14
               0.0596998                  -1.1589367e-14
               0.0616256                   2.7664943e-14
               0.0635514                  -2.3178735e-14
               0.0654772                  -2.9160349e-14
                0.067403                  -8.5022315e-28
               0.0693288                   5.5329886e-14
               0.0712546                   2.3926458e-14
               0.0731804                   1.7197273e-14
               0.0751062                   9.2714939e-14
                0.077032                   2.3926458e-14
               0.0789578                   7.0284178e-14
               0.0808836                   1.3757693e-13
               0.0828094                   1.8542988e-13
               0.0847352                   9.5705833e-14
                0.086661                   2.3925659e-14
               0.0885868                   2.7515387e-13
               0.0905126                  -8.3742534e-13
               0.0924384                   9.3313118e-13
               0.0943642                   3.8282333e-13
                 0.09629                  -1.6748507e-12
               0.0982158                  -1.3877335e-12
               0.1001416                    1.483439e-12
               0.1020674                    1.483439e-12
               0.1039932                   -2.966878e-12
                0.105919                  -1.7705843e-26
               0.1078448                  -3.7325247e-12
               0.1097706                   1.6025045e-26
               0.1116964                   6.6994028e-12
               0.1136222                   4.4981874e-12
                0.115548                   7.9738997e-26
               0.1174738                   4.1010792e-26
               0.1193996                   2.6797611e-11
               0.1213254                   2.0863866e-11
               0.1232512                     3.06263e-12
                0.125177                  -4.7470059e-11
               0.1271028                  -1.1484681e-11
               0.1290286                   2.1841024e-25
               0.1309544                  -5.3595222e-11
               0.1328802                  -6.0112567e-25
                0.134806                   1.2250347e-11
               0.1367318                   1.0719044e-10
               0.1386576                   2.4500693e-11
               0.1405834                   1.5776354e-24
               0.1425092                  -4.9001386e-11
                0.144435                  -1.8988019e-10
               0.1463608                   4.9001386e-11
               0.1482866                   4.2876178e-10
               0.1502124                   3.2966594e-24
               0.1521382                  -4.2876178e-10
                0.154064                  -2.8788399e-10
               0.1559898                  -4.6122547e-25
               0.1579156                   1.9600555e-10
               0.1598414                   9.5552632e-10
               0.1617672                   1.5190416e-09
                0.163693                   3.9201109e-10
               0.1656188                   1.6329228e-23
               0.1675446                   1.3770684e-23
               0.1694704                  -3.4300942e-09
               0.1713962                   2.0167002e-23
                0.173322                   2.8420781e-09
               0.1752478                  -1.1270405e-09
               0.1771736                  -2.2540605e-09
               0.1790994                   6.8601884e-09
               0.1810252                  -7.8403328e-10
                0.182951                   3.1360887e-09
               0.1848768                   1.5680666e-09
               0.1868026                   1.1368313e-08
               0.1887284                   3.1680247e-23
               0.1906542                   -9.016242e-09
                 0.19258                   3.1360887e-09
               0.1945058                   2.4304665e-08
               0.1964316                   2.7440754e-08
               0.1983574                  -2.4304665e-08
               0.2002832                  -1.4372288e-23
                0.202209                   5.4881507e-08
               0.2041348                    4.860933e-08
               0.2060606                    4.860933e-08
               0.2079864                   1.2544355e-08
               0.2099122                   6.1153685e-08
                0.211838                   1.0976301e-07
               0.2137638                   2.2115629e-21
               0.2156896                  -1.0136414e-22
               0.2176154                   2.1952603e-07
               0.2195412                    5.017742e-08
                0.221467                  -2.1952603e-07
               0.2233928                   2.1952603e-07
               0.2253186                  -1.9443732e-07
               0.2272444                   3.8887464e-07
               0.2291702                    -3.63786e-07
                0.231096                  -3.8887464e-07
               0.2330218                  -2.8851974e-07
               0.2349476                  -2.0458545e-21
               0.2368734                  -5.8939191e-21
               0.2387992                  -5.7703949e-07
                0.240725                   2.0070968e-07
               0.2426508                  -1.2771266e-20
               0.2445766                  -1.5554986e-06
               0.2465024                  -1.3547889e-06
