        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_100 (3)/real
----------------------------------------------------------------------
                       0                               0
            0.0019200001                               0
            0.0038400001                               0
            0.0057600002                               0
            0.0076800002                               0
            0.0096000003                               0
                 0.01152                               0
                 0.01344                               0
                 0.01536                               0
                 0.01728                               0
             0.019200001                               0
             0.021120001                               0
             0.023040001                               0
             0.024960001                               0
             0.026880001                               0
             0.028800001                               0
             0.030720001                               0
             0.032640001                               0
             0.034560001                               0
             0.036480001                               0
             0.038400001                               0
             0.040320001                               0
             0.042240001                               0
             0.044160001                               0
             0.046080001                               0
             0.048000001                               0
             0.049920001                               0
             0.051840001                               0
             0.053760002                               0
             0.055680002                               0
             0.057600002                               0
             0.059520002                               0
             0.061440002                               0
             0.063360002                               0
             0.065280002                               0
             0.067200002                               0
             0.069120002                               0
             0.071040002                               0
             0.072960002                               0
             0.074880002                               0
             0.076800002                               0
             0.078720002                               0
             0.080640002                               0
             0.082560002                               0
             0.084480002                               0
             0.086400002                               0
             0.088320002                               0
             0.090240003                               0
             0.092160003                               0
             0.094080003                               0
             0.096000003                               0
             0.097920003                               0
             0.099840003                               0
                 0.10176                               0
                 0.10368                               0
                  0.1056                               0
                 0.10752                               0
                 0.10944                               0
                 0.11136                               0
                 0.11328                               0
                  0.1152                               0
                 0.11712                               0
                 0.11904                               0
                 0.12096                               0
                 0.12288                               0
                  0.1248                               0
                 0.12672                               0
                 0.12864                               0
                 0.13056                               0
                 0.13248                               0
                  0.1344                               0
                 0.13632                               0
                 0.13824                               0
                 0.14016                               0
                 0.14208                               0
                   0.144                               0
                 0.14592                               0
                 0.14784                               0
                 0.14976                               0
                 0.15168                               0
                  0.1536                               0
                 0.15552                               0
                 0.15744                               0
                 0.15936                               0
                 0.16128                               0
                  0.1632                               0
                 0.16512                               0
                 0.16704                               0
                 0.16896                               0
                 0.17088                               0
                  0.1728                               0
                 0.17472                               0
                 0.17664                               0
              0.17856001                               0
              0.18048001                               0
              0.18240001                               0
              0.18432001                               0
              0.18624001                               0
              0.18816001                               0
              0.19008001                               0
              0.19200001                               0
              0.19392001                               0
              0.19584001                               0
              0.19776001                               0
              0.19968001                               0
              0.20160001                               0
              0.20352001                               0
              0.20544001                               0
              0.20736001                               0
              0.20928001                               0
              0.21120001                               0
              0.21312001                               0
              0.21504001                               0
              0.21696001                               0
              0.21888001                               0
              0.22080001                               0
              0.22272001                               0
              0.22464001                               0
              0.22656001                               0
              0.22848001                               0
              0.23040001                               0
              0.23232001                               0
              0.23424001                               0
              0.23616001                               0
              0.23808001                               0
              0.24000001                               0
              0.24192001                  -1.8903155e-35
              0.24384001                  -1.3906493e-34
              0.24576001                  -8.6921948e-34
              0.24768001                  -2.7563157e-33
              0.24960001                  -3.0322913e-33
              0.25152001                  -4.5117075e-33
              0.25344001                  -7.1258879e-33
              0.25536001                  -1.6323995e-32
              0.25728001                  -5.8479668e-32
              0.25920001                    -2.71177e-31
              0.26112001                  -1.3041322e-30
              0.26304001                  -6.1057674e-30
              0.26496001                  -2.7566368e-29
              0.26688001                   -1.199916e-28
              0.26880001                  -5.0397826e-28
              0.27072001                  -2.0448363e-27
              0.27264001                  -3.0468856e-26
              0.27456001                  -1.1210674e-25
              0.27648001                  -3.9996345e-25
              0.27840001                  -1.3847516e-24
              0.28032001                  -4.6556172e-24
              0.28224001                  -1.5210321e-23
              0.28416001                  -4.8317065e-23
              0.28608001                  -1.4932415e-22
              0.28800001                  -4.4919103e-22
              0.28992001                  -1.3158694e-21
              0.29184001                   -3.755591e-21
              0.29376001                  -1.0447037e-20
              0.29568001                  -2.8334884e-20
              0.29760001                  -7.4956916e-20
              0.29952001                  -1.9345961e-19
              0.30144001                  -4.8727566e-19
              0.30336001                  -1.1980609e-18
              0.30528001                  -2.8759538e-18
              0.30720001                  -6.7419248e-18
              0.30912001                  -1.5436057e-17
              0.31104001                  -3.4522042e-17
              0.31296001                  -7.5423705e-17
              0.31488001                  -1.6098642e-16
              0.31680001                  -6.8395841e-16
              0.31872001                  -1.3613294e-15
              0.32064001                  -2.6468496e-15
              0.32256001                  -5.0266179e-15
              0.32448001                  -9.3222871e-15
              0.32640001                  -1.6879645e-14
              0.32832001                   -2.983204e-14
              0.33024001                  -5.1443042e-14
              0.33216001                  -8.6515227e-14
              0.33408001                   -1.418237e-13
