        s / mm                Z (8)/real
----------------------------------------------------------------------
              -160.18114                  -1.9394409e-18
              -159.62899                  -3.6208898e-18
              -159.07683                  -6.6247609e-18
              -158.52468                  -1.1874181e-17
              -157.97253                  -2.0842322e-17
              -157.42037                  -3.5809315e-17
              -156.86822                   -6.018957e-17
              -156.31607                  -9.8915019e-17
              -155.76391                  -1.5883184e-16
              -155.21176                  -2.4903036e-16
              -154.65961                  -3.8098734e-16
              -154.10745                  -5.6837284e-16
               -153.5553                  -8.2638785e-16
              -153.00315                  -1.1705867e-15
                -152.451                  -1.6153286e-15
              -151.89884                  -2.1722968e-15
              -151.34669                  -2.8498691e-15
              -150.79454                  -3.6543937e-15
              -150.24238                   -4.594432e-15
              -149.69023                  -5.6885749e-15
              -149.13808                  -6.9764237e-15
              -148.58592                  -8.5308904e-15
              -148.03377                  -1.0468583e-14
              -147.48162                  -1.2954452e-14
              -146.92946                  -1.6197877e-14
              -146.37731                   -2.044032e-14
              -145.82516                  -2.5939121e-14
              -145.27301                  -3.2956238e-14
              -144.72085                   -4.176267e-14
               -144.1687                  -5.2666699e-14
              -143.61655                  -6.6066823e-14
              -143.06439                   -8.252038e-14
              -142.51224                  -1.0281107e-13
              -141.96009                  -1.2799768e-13
              -141.40793                  -1.5943512e-13
              -140.85578                  -1.9877504e-13
              -140.30363                   -2.479697e-13
              -139.75147                  -3.0931056e-13
              -139.19932                  -3.8552622e-13
              -138.64717                  -4.7994515e-13
              -138.09502                  -5.9670637e-13
              -137.54286                  -7.4098992e-13
              -136.99071                  -9.1924652e-13
              -136.43856                  -1.1394305e-12
               -135.8864                  -1.4112671e-12
              -135.33425                  -1.7466009e-12
               -134.7821                  -2.1598627e-12
              -134.22994                   -2.668671e-12
              -133.67779                  -3.2945615e-12
              -133.12564                  -4.0638377e-12
              -132.57348                  -5.0085576e-12
              -132.02133                  -6.1677078e-12
              -131.46918                  -7.5886414e-12
              -130.91703                  -9.3288527e-12
              -130.36487                  -1.1458146e-11
              -129.81272                  -1.4061243e-11
              -129.26057                  -1.7240868e-11
              -128.70841                   -2.112141e-11
              -128.15626                  -2.5853296e-11
              -127.60411                  -3.1618258e-11
              -127.05195                  -3.8635678e-11
               -126.4998                    -4.71702e-11
              -125.94765                  -5.7540812e-11
              -125.39549                  -7.0131622e-11
              -124.84334                  -8.5404655e-11
              -124.29119                  -1.0391508e-10
              -123.73904                  -1.2632942e-10
              -123.18688                  -1.5344719e-10
              -122.63473                  -1.8622664e-10
              -122.08258                  -2.2581526e-10
              -121.53042                  -2.7358582e-10
              -120.97827                  -3.3117899e-10
              -120.42612                  -4.0055378e-10
              -119.87396                  -4.8404709e-10
              -119.32181                   -5.844442e-10
              -118.76966                  -7.0506174e-10
               -118.2175                  -8.4984544e-10
              -117.66535                  -1.0234851e-09
               -117.1132                  -1.2315493e-09
              -116.56105                  -1.4806445e-09
              -116.00889                  -1.7786007e-09
              -115.45674                  -2.1346895e-09
              -114.90459                  -2.5598797e-09
              -114.35243                  -3.0671358e-09
              -113.80028                  -3.6717664e-09
              -113.24813                  -4.3918315e-09
              -112.69597                  -5.2486167e-09
              -112.14382                  -6.2671868e-09
              -111.59167                  -7.4770277e-09
              -111.03951                   -8.912794e-09
              -110.48736                  -1.0615177e-08
              -109.93521                  -1.2631914e-08
              -109.38305                  -1.5018951e-08
               -108.8309                  -1.7841793e-08
              -108.27875                  -2.1177067e-08
               -107.7266                   -2.511433e-08
              -107.17444                  -2.9758144e-08
              -106.62229                  -3.5230476e-08
              -106.07014                  -4.1673459e-08
              -105.51798                  -4.9252579e-08
              -104.96583                  -5.8160323e-08
              -104.41368                  -6.8620362e-08
              -103.86152                  -8.0892368e-08
              -103.30937                  -9.5277513e-08
              -102.75722                  -1.1212477e-07
              -102.20506                  -1.3183813e-07
              -101.65291                  -1.5488479e-07
              -101.10076                  -1.8180455e-07
              -100.54861                   -2.132205e-07
              -99.996453                  -2.4985117e-07
              -99.444299                  -2.9252434e-07
              -98.892146                  -3.4219276e-07
              -98.339993                  -3.9995194e-07
               -97.78784                  -4.6706026e-07
              -97.235687                  -5.4496188e-07
              -96.683534                  -6.3531257e-07
              -96.131381                  -7.4000875e-07
              -95.579228                  -8.6122036e-07
              -95.027075                   -1.001428e-06
              -94.474922                  -1.1634645e-06
              -93.922769                  -1.3505621e-06
              -93.370616                  -1.5664045e-06
              -92.818462                  -1.8151864e-06
              -92.266309                  -2.1016791e-06
              -91.714156                  -2.4313049e-06
              -91.162003                  -2.8102196e-06
               -90.60985                  -3.2454052e-06
              -90.057697                  -3.7447721e-06
              -89.505544                  -4.3172739e-06
              -88.953391                  -4.9730349e-06
              -88.401238                  -5.7234922e-06
              -87.849085                  -6.5815522e-06
              -87.296932                  -7.5617649e-06
              -86.744779                  -8.6805168e-06
              -86.192625                  -9.9562439e-06
              -85.640472                  -1.1409666e-05
              -85.088319                  -1.3064049e-05
              -84.536166                  -1.4945486e-05
              -83.984013                  -1.7083219e-05
               -83.43186                  -1.9509975e-05
              -82.879707                  -2.2262348e-05
              -82.327554                  -2.5381216e-05
              -81.775401                  -2.8912194e-05
              -81.223248                  -3.2906134e-05
              -80.671095                  -3.7419652e-05
              -80.118942                  -4.2515729e-05
              -79.566788                  -4.8264355e-05
              -79.014635                  -5.4743216e-05
              -78.462482                   -6.203845e-05
              -77.910329                  -7.0245475e-05
              -77.358176                  -7.9469872e-05
              -76.806023                  -8.9828334e-05
               -76.25387                   -0.0001014497
              -75.701717                  -0.00011447607
