        s / mm                X/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.90031                     7.84168e-22
              -159.61948                   2.1750707e-21
              -159.33864                   4.6145815e-21
              -159.05781                   8.8451304e-21
              -158.77698                   1.6098501e-20
              -158.49615                   2.8392236e-20
              -158.21532                    4.898767e-20
              -157.93449                   8.3085784e-20
              -157.65365                   1.3886575e-19
              -157.37282                   2.2900607e-19
              -157.09199                   3.7286673e-19
              -156.81116                    5.995491e-19
              -156.53033                   9.5208102e-19
              -156.24949                   1.4929817e-18
              -155.96866                   2.3114224e-18
              -155.68783                   3.5320856e-18
                -155.407                   5.3256084e-18
              -155.12617                   7.9201389e-18
              -154.84534                   1.1613008e-17
               -154.5645                   1.6780787e-17
              -154.28367                   2.3885209e-17
              -154.00284                   3.3471662e-17
              -153.72201                   4.6156358e-17
              -153.44118                   6.2598237e-17
              -153.16035                   8.3452707e-17
              -152.87951                   1.0930689e-16
              -152.59868                   1.4059995e-16
              -152.31785                   1.7753785e-16
              -152.03702                     2.20019e-16
              -151.75619                   2.6759366e-16
              -151.47536                   3.1948323e-16
              -151.19452                   3.7468386e-16
              -150.91369                   4.3216902e-16
              -150.63286                   4.9118479e-16
              -150.35203                   5.5160285e-16
               -150.0712                   6.1426358e-16
              -149.79037                   6.8121311e-16
              -149.50953                   7.5572861e-16
               -149.2287                   8.4204824e-16
              -148.94787                   9.4478116e-16
              -148.66704                   1.0680668e-15
              -148.38621                   1.2146631e-15
              -148.10538                   1.3852353e-15
              -147.82454                    1.578148e-15
              -147.54371                   1.7899924e-15
              -147.26288                   2.0168971e-15
              -146.98205                   2.2564036e-15
              -146.70122                   2.5094176e-15
              -146.42039                   2.7815744e-15
              -146.13955                   3.0833929e-15
              -145.85872                   3.4288943e-15
              -145.57789                   3.8328793e-15
              -145.29706                   4.3076497e-15
              -145.01623                   4.8603549e-15
               -144.7354                   5.4921381e-15
              -144.45456                    6.199766e-15
              -144.17373                   6.9795004e-15
               -143.8929                   7.8319564e-15
              -143.61207                   8.7660691e-15
              -143.33124                   9.8004116e-15
              -143.05041                   1.0961049e-14
              -142.76957                   1.2276624e-14
              -142.48874                    1.377276e-14
              -142.20791                   1.5468418e-14
              -141.92708                   1.7376233e-14
              -141.64625                   1.9507026e-14
              -141.36541                   2.1876583e-14
              -141.08458                   2.4511506e-14
              -140.80375                   2.7451184e-14
              -140.52292                   3.0744737e-14
              -140.24209                   3.4444513e-14
              -139.96126                   3.8599861e-14
              -139.68042                   4.3254968e-14
              -139.39959                   4.8452632e-14
              -139.11876                   5.4242648e-14
              -138.83793                   6.0690603e-14
               -138.5571                   6.7882403e-14
              -138.27627                   7.5922235e-14
              -137.99543                   8.4925209e-14
               -137.7146                   9.5009148e-14
              -137.43377                    1.062908e-13
              -137.15294                   1.1888946e-13
              -136.87211                   1.3293661e-13
              -136.59128                   1.4858668e-13
              -136.31044                   1.6602369e-13
              -136.02961                   1.8546145e-13
              -135.74878                   2.0713877e-13
              -135.46795                   2.3131411e-13
              -135.18712                    2.582649e-13
              -134.90629                   2.8829319e-13
              -134.62545                   3.2173492e-13
              -134.34462                   3.5896823e-13
              -134.06379                   4.0041849e-13
              -133.78296                   4.4655951e-13
              -133.50213                   4.9791387e-13
               -133.2213                   5.5505635e-13
              -132.94046                   6.1862187e-13
              -132.65963                   6.8931587e-13
               -132.3788                   7.6792266e-13
              -132.09797                   8.5531093e-13
              -131.81714                   9.5243879e-13
              -131.53631                   1.0603601e-12
              -131.25547                   1.1802356e-12
              -130.97464                   1.3133516e-12
              -130.69381                   1.4611403e-12
              -130.41298                   1.6251954e-12
              -130.13215                   1.8072848e-12
              -129.85132                    2.009359e-12
              -129.57048                   2.2335608e-12
              -129.28965                   2.4822446e-12
              -129.00882                    2.758002e-12
              -128.72799                   3.0636952e-12
              -128.44716                   3.4024925e-12
              -128.16633                   3.7779001e-12
              -127.88549                   4.1937919e-12
              -127.60466                   4.6544442e-12
              -127.32383                   5.1645713e-12
                -127.043                   5.7293621e-12
              -126.76217                   6.3545308e-12
              -126.48133                    7.046372e-12
               -126.2005                   7.8118149e-12
              -125.91967                   8.6584903e-12
              -125.63884                   9.5948017e-12
              -125.35801                   1.0630001e-11
              -125.07718                   1.1774273e-11
              -124.79634                   1.3038833e-11
              -124.51551                   1.4436014e-11
              -124.23468                   1.5979375e-11
              -123.95385                   1.7683831e-11
              -123.67302                   1.9565783e-11
              -123.39219                   2.1643252e-11
              -123.11135                   2.3936028e-11
