        s / mm                X (7)/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.62899                   2.2870083e-19
              -159.07683                   6.5272959e-19
              -158.52468                    1.424011e-18
              -157.97253                   2.7991244e-18
              -157.42037                   5.1998387e-18
              -156.86822                   9.2994606e-18
              -156.31607                    1.613921e-17
              -155.76391                    2.727445e-17
              -155.21176                    4.494226e-17
              -154.65961                   7.2229419e-17
              -154.10745                    1.132051e-16
               -153.5553                   1.7297034e-16
              -153.00315                    2.575755e-16
                -152.451                   3.7377816e-16
              -151.89884                   5.2866755e-16
              -151.34669                   7.2926911e-16
              -150.79454                   9.8234634e-16
              -150.24238                   1.2947005e-15
              -149.69023                   1.6742747e-15
              -149.13808                   2.1322411e-15
              -148.58592                   2.6859745e-15
              -148.03377                   3.3624399e-15
              -147.48162                   4.2012021e-15
              -146.92946                   5.2561989e-15
              -146.37731                   6.5957948e-15
              -145.82516                   8.3014547e-15
              -145.27301                   1.0466433e-14
              -144.72085                   1.3196667e-14
               -144.1687                   1.6616039e-14
              -143.61655                   2.0877106e-14
              -143.06439                   2.6176418e-14
              -142.51224                   3.2771671e-14
              -141.96009                   4.0997225e-14
              -141.40793                   5.1275899e-14
              -140.85578                   6.4128119e-14
              -140.30363                   8.0183228e-14
              -139.75147                   1.0019978e-13
              -139.19932                   1.2510059e-13
              -138.64717                   1.5602403e-13
              -138.09502                   1.9438833e-13
              -137.54286                   2.4196269e-13
              -136.99071                   3.0094176e-13
              -136.43856                   3.7402571e-13
               -135.8864                   4.6451643e-13
              -135.33425                   5.7644361e-13
               -134.7821                   7.1473274e-13
              -134.22994                   8.8541973e-13
              -133.67779                   1.0959111e-12
              -133.12564                   1.3552881e-12
              -132.57348                   1.6746595e-12
              -132.02133                   2.0675806e-12
              -131.46918                   2.5505653e-12
              -130.91703                   3.1437189e-12
              -130.36487                   3.8715146e-12
              -129.81272                   4.7637333e-12
              -129.26057                   5.8565885e-12
              -128.70841                   7.1940642e-12
              -128.15626                   8.8295127e-12
              -127.60411                    1.082758e-11
              -127.05195                   1.3266535e-11
               -126.4998                   1.6241066e-11
              -125.94765                   1.9865645e-11
              -125.39549                   2.4278533e-11
              -124.84334                   2.9646563e-11
              -124.29119                   3.6170828e-11
              -123.73904                   4.4093498e-11
              -123.18688                   5.3705962e-11
              -122.63473                   6.5358525e-11
              -122.08258                   7.9471938e-11
              -121.53042                   9.6551118e-11
              -120.97827                   1.1720142e-10
              -120.42612                   1.4214793e-10
              -119.87396                   1.7225831e-10
              -119.32181                   2.0856998e-10
              -118.76966                   2.5232212e-10
               -118.2175                   3.0499368e-10
              -117.66535                   3.6834804e-10
               -117.1132                   4.4448579e-10
              -116.56105                   5.3590697e-10
              -116.00889                   6.4558436e-10
              -115.45674                   7.7704943e-10
              -114.90459                   9.3449347e-10
              -114.35243                   1.1228866e-09
              -113.80028                   1.3481171e-09
              -113.24813                   1.6171538e-09
              -112.69597                   1.9382379e-09
              -112.14382                    2.321106e-09
              -111.59167                     2.77725e-09
              -111.03951                   3.3202212e-09
              -110.48736                   3.9659859e-09
              -109.93521                   4.7333376e-09
              -109.38305                   5.6443762e-09
               -108.8309                   6.7250654e-09
              -108.27875                   8.0058816e-09
               -107.7266                   9.5225655e-09
              -107.17444                    1.131699e-08
              -106.62229                   1.3438168e-08
              -106.07014                   1.5943416e-08
              -105.51798                   1.8899697e-08
              -104.96583                   2.2385177e-08
              -104.41368                   2.6491007e-08
              -103.86152                   3.1323379e-08
              -103.30937                   3.7005896e-08
              -102.75722                   4.3682297e-08
              -102.20506                   5.1519579e-08
              -101.65291                   6.0711562e-08
              -101.10076                   7.1482994e-08
              -100.54861                   8.4094256e-08
              -99.996453                   9.8846707e-08
              -99.444299                   1.1608881e-07
              -98.892146                   1.3622312e-07
              -98.339993                   1.5971422e-07
               -97.78784                   1.8709781e-07
              -97.235687                   2.1899095e-07
              -96.683534                   2.5610379e-07
              -96.131381                   2.9925277e-07
              -95.579228                   3.4937568e-07
              -95.027075                   4.0754872e-07
              -94.474922                   4.7500566e-07
              -93.922769                    5.531595e-07
              -93.370616                   6.4362714e-07
              -92.818462                     7.48257e-07
              -92.266309                   8.6915988e-07
              -91.714156                   1.0087439e-06
              -91.162003                   1.1697539e-06
               -90.60985                   1.3553161e-06
              -90.057697                   1.5689862e-06
              -89.505544                   1.8148056e-06
              -88.953391                   2.0973629e-06
              -88.401238                   2.4218626e-06
              -87.849085                   2.7942024e-06
              -87.296932                   3.2210591e-06
