        s / mm                Y (7)/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.62899                   1.7905703e-20
              -159.07683                   5.1044326e-20
              -158.52468                   1.1122721e-19
              -157.97253                   2.1838596e-19
              -157.42037                   4.0526805e-19
              -156.86822                   7.2413906e-19
              -156.31607                   1.2558263e-18
              -155.76391                   2.1211039e-18
              -155.21176                   3.4937746e-18
              -154.65961                   5.6138418e-18
              -154.10745                   8.7980009e-18
               -153.5553                   1.3443713e-17
              -153.00315                    2.002297e-17
                -152.451                   2.9063508e-17
              -151.89884                   4.1119298e-17
              -151.34669                   5.6738849e-17
              -150.79454                   7.6448211e-17
              -150.24238                   1.0077238e-16
              -149.69023                   1.3031931e-16
              -149.13808                   1.6594174e-16
              -148.58592                   2.0897088e-16
              -148.03377                   2.6148609e-16
              -147.48162                   3.2655751e-16
              -146.92946                   4.0839306e-16
              -146.37731                   5.1234832e-16
              -145.82516                   6.4481942e-16
              -145.27301                   8.1312447e-16
              -144.72085                   1.0255471e-15
               -144.1687                   1.2917207e-15
              -143.61655                     1.62345e-15
              -143.06439                   2.0359157e-15
              -142.51224                   2.5490513e-15
              -141.96009                   3.1888067e-15
              -141.40793                   3.9881046e-15
              -140.85578                   4.9875539e-15
              -140.30363                   6.2362785e-15
              -139.75147                   7.7934058e-15
              -139.19932                    9.730701e-15
              -138.64717                   1.2136542e-14
              -138.09502                   1.5120993e-14
              -137.54286                   1.8821471e-14
              -136.99071                   2.3408652e-14
              -136.43856                   2.9092776e-14
               -135.8864                   3.6131009e-14
              -135.33425                   4.4837092e-14
               -134.7821                   5.5594331e-14
              -134.22994                   6.8872171e-14
              -133.67779                   8.5246478e-14
              -133.12564                   1.0542349e-13
              -132.57348                   1.3026736e-13
              -132.02133                   1.6083267e-13
              -131.46918                   1.9840435e-13
              -130.91703                   2.4454663e-13
              -130.36487                   3.0116323e-13
              -129.81272                   3.7057102e-13
              -129.26057                   4.5558744e-13
              -128.70841                   5.5963381e-13
              -128.15626                   6.8686121e-13
              -127.60411                   8.4230105e-13
              -127.05195                   1.0320432e-12
               -126.4998                   1.2634537e-12
              -125.94765                   1.5454389e-12
              -125.39549                   1.8887563e-12
              -124.84334                   2.3063867e-12
              -124.29119                    2.813978e-12
              -123.73904                   3.4303739e-12
              -123.18688                   4.1782478e-12
              -122.63473                   5.0848606e-12
              -122.08258                   6.1829522e-12
              -121.53042                    7.511809e-12
              -120.97827                   9.1185411e-12
              -120.42612                   1.1059579e-11
              -119.87396                   1.3402442e-11
              -119.32181                   1.6227857e-11
              -118.76966                    1.963227e-11
               -118.2175                   2.3730787e-11
              -117.66535                   2.8660638e-11
               -117.1132                   3.4585303e-11
              -116.56105                   4.1699367e-11
              -116.00889                    5.023421e-11
              -115.45674                   6.0464696e-11
              -114.90459                   7.2717073e-11
              -114.35243                   8.7378205e-11
              -113.80028                   1.0490638e-10
              -113.24813                   1.2584415e-10
              -112.69597                    1.508331e-10
              -112.14382                   1.8063109e-10
              -111.59167                    2.161327e-10
              -111.03951                     2.58393e-10
              -110.48736                    3.086548e-10
              -109.93521                   3.6838116e-10
              -109.38305                   4.3929316e-10
               -108.8309                   5.2341227e-10
              -108.27875                   6.2311101e-10
               -107.7266                   7.4117274e-10
              -107.17444                   8.8085818e-10
              -106.62229                   1.0459833e-09
              -106.07014                   1.2410115e-09
              -105.51798                   1.4711579e-09
              -104.96583                    1.742509e-09
              -104.41368                   2.0621639e-09
              -103.86152                   2.4383934e-09
              -103.30937                   2.8808251e-09
              -102.75722                   3.4006549e-09
              -102.20506                    4.010889e-09
              -101.65291                   4.7266236e-09
              -101.10076                   5.5653677e-09
              -100.54861                   6.5474075e-09
              -99.996453                   7.6962191e-09
              -99.444299                    9.038948e-09
              -98.892146                    1.060696e-08
              -98.339993                   1.2436453e-08
               -97.78784                   1.4569159e-08
              -97.235687                   1.7053173e-08
              -96.683534                   1.9943843e-08
              -96.131381                   2.3304774e-08
              -95.579228                   2.7209054e-08
              -95.027075                   3.1740573e-08
              -94.474922                   3.6995481e-08
              -93.922769                   4.3083919e-08
              -93.370616                   5.0131947e-08
              -92.818462                   5.8283652e-08
              -92.266309                   6.7703576e-08
              -91.714156                    7.857947e-08
              -91.162003                   9.1125363e-08
               -90.60985                   1.0558496e-07
              -90.057697                   1.2223556e-07
              -89.505544                   1.4139233e-07
              -88.953391                   1.6341312e-07
              -88.401238                   1.8870395e-07
              -87.849085                   2.1772484e-07
              -87.296932                   2.5099655e-07
