        s / mm                Y (5)/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.62899                  -1.2933519e-19
              -159.07683                  -3.2494872e-19
              -158.52468                  -5.9798259e-19
              -157.97253                  -9.3723402e-19
              -157.42037                  -1.2799754e-18
              -156.86822                  -1.4663529e-18
              -156.31607                  -1.1779609e-18
              -155.76391                   1.3054041e-19
              -155.21176                   3.2854311e-18
              -154.65961                   9.3986898e-18
              -154.10745                   1.9781354e-17
               -153.5553                   3.5733326e-17
              -153.00315                   5.8215569e-17
                -152.451                   8.7480037e-17
              -151.89884                   1.2281791e-16
              -151.34669                   1.6264902e-16
              -150.79454                   2.0516113e-16
              -150.24238                   2.4956562e-16
              -149.69023                   2.9775997e-16
              -149.13808                   3.5585735e-16
              -148.58592                   4.3482531e-16
              -148.03377                   5.4955572e-16
              -147.48162                    7.161919e-16
              -146.92946                    9.484019e-16
              -146.37731                   1.2541624e-15
              -145.82516                   1.6350056e-15
              -145.27301                   2.0891592e-15
              -144.72085                   2.6185111e-15
               -144.1687                   3.2374041e-15
              -143.61655                    3.979897e-15
              -143.06439                   4.9022535e-15
              -142.51224                   6.0793994e-15
              -141.96009                   7.5972188e-15
              -141.40793                   9.5452294e-15
              -140.85578                   1.2014763e-14
              -140.30363                   1.5105657e-14
              -139.75147                   1.8940481e-14
              -139.19932                   2.3681742e-14
              -138.64717                   2.9546673e-14
              -138.09502                   3.6816561e-14
              -137.54286                   4.5842026e-14
              -136.99071                   5.7049463e-14
              -136.43856                   7.0954214e-14
               -135.8864                   8.8183419e-14
              -135.33425                   1.0950756e-13
               -134.7821                   1.3587647e-13
              -134.22994                   1.6845781e-13
              -133.67779                   2.0867984e-13
              -133.12564                   2.5828347e-13
              -132.57348                   3.1939022e-13
              -132.02133                   3.9459061e-13
              -131.46918                   4.8705145e-13
              -130.91703                   6.0064273e-13
              -130.36487                   7.4008583e-13
              -129.81272                   9.1112532e-13
              -129.26057                   1.1207381e-12
              -128.70841                   1.3773943e-12
              -128.15626                    1.691373e-12
              -127.60411                   2.0751414e-12
              -127.05195                   2.5438089e-12
               -126.4998                   3.1156636e-12
              -125.94765                   3.8128082e-12
              -125.39549                   4.6619323e-12
              -124.84334                   5.6952456e-12
              -124.29119                   6.9515881e-12
              -123.73904                   8.4777538e-12
              -123.18688                   1.0330073e-11
              -122.63473                   1.2576287e-11
              -122.08258                   1.5297781e-11
              -121.53042                   1.8592222e-11
              -120.97827                   2.2576715e-11
              -120.42612                   2.7391554e-11
              -119.87396                   3.3204675e-11
              -119.32181                    4.021692e-11
              -118.76966                   4.8668237e-11
               -118.2175                   5.8845004e-11
              -117.66535                   7.1088716e-11
               -117.1132                    8.580628e-11
              -116.56105                   1.0348197e-10
              -116.00889                   1.2469151e-10
              -115.45674                   1.5011909e-10
              -114.90459                   1.8057707e-10
              -114.35243                   2.1702847e-10
              -113.80028                    2.606142e-10
              -113.24813                   3.1268508e-10
              -112.69597                   3.7483823e-10
              -112.14382                    4.489602e-10
              -111.59167                    5.372784e-10
              -111.03951                    6.424196e-10
              -110.48736                   7.6747783e-10
              -109.93521                    9.160949e-10
              -109.38305                    1.092554e-09
               -108.8309                   1.3018876e-09
              -108.27875                   1.5500013e-09
               -107.7266                   1.8438191e-09
              -107.17444                   2.1914534e-09
              -106.62229                   2.6024011e-09
              -106.07014                   3.0877654e-09
              -105.51798                   3.6605169e-09
              -104.96583                    4.335795e-09
              -104.41368                   5.1312515e-09
              -103.86152                   6.0674505e-09
              -103.30937                   7.1683222e-09
              -102.75722                   8.4616844e-09
              -102.20506                   9.9798609e-09
              -101.65291                   1.1760373e-08
              -101.10076                   1.3846701e-08
              -100.54861                   1.6289195e-08
              -99.996453                   1.9146144e-08
              -99.444299                   2.2484948e-08
              -98.892146                    2.638343e-08
              -98.339993                   3.0931372e-08
               -97.78784                   3.6232304e-08
              -97.235687                   4.2405454e-08
              -96.683534                   4.9587945e-08
              -96.131381                   5.7937405e-08
              -95.579228                   6.7634921e-08
              -95.027075                   7.8888226e-08
              -94.474922                   9.1935295e-08
              -93.922769                   1.0704862e-07
              -93.370616                   1.2454007e-07
              -92.818462                   1.4476602e-07
              -92.266309                   1.6813318e-07
              -91.714156                   1.9510554e-07
              -91.162003                   2.2621164e-07
               -90.60985                   2.6205315e-07
              -90.057697                   3.0331449e-07
              -89.505544                   3.5077323e-07
              -88.953391                   4.0531163e-07
              -88.401238                   4.6793019e-07
              -87.849085                   5.3976235e-07
              -87.296932                   6.2209076e-07
