        Frequency / GHz                X (8)/abs,linear
----------------------------------------------------------------------
                       0                        4.268361
            0.0054646658                       4.2684532
             0.010929332                       4.2687248
             0.016393997                       4.2691606
             0.021858663                       4.2697363
             0.027323329                       4.2704198
             0.032787995                       4.2711731
              0.03825266                       4.2719546
             0.043717326                        4.272721
             0.049181992                       4.2734302
             0.054646658                       4.2740437
             0.060111324                       4.2745283
             0.065575989                       4.2748586
             0.071040655                        4.275018
             0.076505321                       4.2749998
             0.081969987                       4.2748077
             0.087434652                       4.2744553
             0.092899318                       4.2739659
             0.098363984                       4.2733705
              0.10382865                       4.2727067
              0.10929332                       4.2720161
              0.11475798                       4.2713423
              0.12022265                       4.2707282
              0.12568731                       4.2702137
              0.13115198                       4.2698333
              0.13661664                       4.2696141
              0.14208131                       4.2695745
              0.14754598                       4.2697224
              0.15301064                       4.2700556
              0.15847531                       4.2705612
              0.16393997                       4.2712166
              0.16940464                       4.2719907
               0.1748693                       4.2728454
              0.18033397                       4.2737381
              0.18579864                       4.2746241
               0.1912633                       4.2754586
              0.19672797                          4.2762
              0.20219263                       4.2768116
               0.2076573                       4.2772642
              0.21312197                       4.2775374
              0.21858663                       4.2776213
               0.2240513                       4.2775165
              0.22951596                        4.277235
              0.23498063                       4.2767985
              0.24044529                       4.2762385
              0.24590996                       4.2755934
              0.25137463                       4.2749075
              0.25683929                       4.2742277
              0.26230396                       4.2736013
              0.26776862                       4.2730733
              0.27323329                       4.2726837
              0.27869795                       4.2724653
              0.28416262                       4.2724416
              0.28962729                       4.2726258
              0.29509195                       4.2730192
              0.30055662                       4.2736119
              0.30602128                       4.2743826
              0.31148595                       4.2752999
              0.31695062                       4.2763241
              0.32241528                       4.2774093
              0.32787995                       4.2785058
              0.33334461                       4.2795628
              0.33880928                       4.2805317
              0.34427394                       4.2813683
              0.34973861                       4.2820355
              0.35520328                       4.2825056
              0.36066794                       4.2827617
              0.36613261                       4.2827989
              0.37159727                       4.2826245
              0.37706194                        4.282258
               0.3825266                       4.2817301
              0.38799127                       4.2810808
              0.39345594                       4.2803578
               0.3989206                       4.2796136
              0.40438527                       4.2789026
              0.40984993                       4.2782783
               0.4153146                       4.2777902
              0.42077926                       4.2774811
              0.42624393                       4.2773844
               0.4317086                       4.2775223
              0.43717326                       4.2779043
              0.44263793                       4.2785269
              0.44810259                       4.2793729
              0.45356726                       4.2804131
              0.45903193                       4.2816071
              0.46449659                       4.2829057
              0.46996126                       4.2842537
              0.47542592                       4.2855926
              0.48089059                       4.2868639
              0.48635525                       4.2880124
              0.49181992                       4.2889892
              0.49728459                       4.2897545
              0.50274925                       4.2902797
              0.50821392                       4.2905495
              0.51367858                       4.2905624
              0.51914325                       4.2903313
              0.52460791                       4.2898829
              0.53007258                       4.2892562
              0.53553725                       4.2885007
              0.54100191                        4.287674
              0.54646658                       4.2868382
              0.55193124                       4.2860573
              0.55739591                        4.285393
              0.56286058                       4.2849016
              0.56832524                       4.2846311
              0.57378991                       4.2846177
              0.57925457                       4.2848845
              0.58471924                       4.2854394
               0.5901839                        4.286275
              0.59564857                       4.2873682
              0.60111324                        4.288682
               0.6065779                       4.2901671
              0.61204257                       4.2917641
              0.61750723                       4.2934073
               0.6229719                       4.2950279
              0.62843656                       4.2965574
              0.63390123                       4.2979321
               0.6393659                       4.2990959
              0.64483056                       4.3000039
              0.65029523                       4.3006245
              0.65575989                       4.3009417
              0.66122456                        4.300956
              0.66668923                       4.3006843
              0.67215389                       4.3001595
              0.67761856                       4.2994291
              0.68308322                       4.2985522
              0.68854789                       4.2975969
              0.69401255                       4.2966367
              0.69947722                       4.2957465
              0.70494189                       4.2949986
              0.71040655                       4.2944584
              0.71587122                       4.2941815
              0.72133588                       4.2942096
              0.72680055                       4.2945688
              0.73226521                       4.2952674
              0.73772988                       4.2962958
              0.74319455                       4.2976263
              0.74865921                       4.2992148
              0.75412388                       4.3010028
              0.75958854                       4.3029206
              0.76505321                       4.3048908
              0.77051787                       4.3068326
              0.77598254                       4.3086659
              0.78144721                        4.310316
              0.78691187                       4.3117173
              0.79237654                       4.3128171
               0.7978412                       4.3135784
              0.80330587                       4.3139823
              0.80877054                        4.314029
               0.8142352                       4.3137382
              0.81969987                        4.313148
              0.82516453                       4.3123135
               0.8306292                       4.3113035
              0.83609386                       4.3101975
              0.84155853                       4.3090814
               0.8470232                       4.3080428
              0.85248786                       4.3071666
              0.85795253                         4.30653
              0.86341719                       4.3061985
              0.86888186                       4.3062221
              0.87434652                       4.3066323
              0.87981119                       4.3074404
              0.88527586                       4.3086364
              0.89074052                       4.3101895
              0.89620519                       4.3120493
