        Frequency / GHz                X (5)/abs,linear
----------------------------------------------------------------------
                       0                         4.48113
            0.0054646658                       4.4812273
             0.010929332                        4.481514
             0.016393997                       4.4819742
             0.021858663                       4.4825828
             0.027323329                       4.4833065
             0.032787995                       4.4841058
              0.03825266                       4.4849373
             0.043717326                        4.485756
             0.049181992                        4.486518
             0.054646658                       4.4871829
             0.060111324                       4.4877159
             0.065575989                         4.48809
             0.071040655                       4.4882873
             0.076505321                       4.4883003
             0.081969987                       4.4881318
             0.087434652                       4.4877953
             0.092899318                       4.4873139
             0.098363984                       4.4867191
              0.10382865                        4.486049
              0.10929332                       4.4853463
              0.11475798                       4.4846555
              0.12022265                        4.484021
              0.12568731                        4.483484
              0.13115198                       4.4830803
              0.13661664                       4.4828386
              0.14208131                       4.4827782
              0.14754598                       4.4829084
              0.15301064                       4.4832278
              0.15847531                        4.483724
              0.16393997                        4.484375
              0.16940464                       4.4851495
               0.1748693                       4.4860096
              0.18033397                       4.4869123
              0.18579864                       4.4878119
               0.1912633                       4.4886632
              0.19672797                       4.4894234
              0.20219263                        4.490055
               0.2076573                       4.4905277
              0.21312197                       4.4908202
              0.21858663                       4.4909217
               0.2240513                       4.4908321
              0.22951596                       4.4905625
              0.23498063                       4.4901347
              0.24044529                       4.4895796
              0.24590996                       4.4889359
              0.25137463                       4.4882479
              0.25683929                       4.4875631
              0.26230396                       4.4869293
              0.26776862                       4.4863921
              0.27323329                       4.4859924
              0.27869795                       4.4857637
              0.28416262                       4.4857304
              0.28962729                       4.4859063
              0.29509195                       4.4862935
              0.30055662                       4.4868825
              0.30602128                       4.4876524
              0.31148595                       4.4885721
              0.31695062                       4.4896018
              0.32241528                       4.4906954
              0.32787995                        4.491803
              0.33334461                       4.4928733
              0.33880928                        4.493857
              0.34427394                       4.4947094
              0.34973861                       4.4953926
              0.35520328                       4.4958783
              0.36066794                       4.4961488
              0.36613261                       4.4961986
              0.37159727                       4.4960348
              0.37706194                       4.4956763
               0.3825266                       4.4951537
              0.38799127                       4.4945071
              0.39345594                       4.4937842
               0.3989206                       4.4930378
              0.40438527                       4.4923227
              0.40984993                       4.4916931
               0.4153146                       4.4911989
              0.42077926                       4.4908837
              0.42624393                       4.4907814
               0.4317086                       4.4909149
              0.43717326                       4.4912943
              0.44263793                       4.4919165
              0.44810259                       4.4927647
              0.45356726                       4.4938099
              0.45903193                       4.4950117
              0.46449659                       4.4963208
              0.46996126                       4.4976817
              0.47542592                       4.4990356
              0.48089059                       4.5003234
              0.48635525                       4.5014893
              0.49181992                       4.5024838
              0.49728459                       4.5032664
              0.50274925                        4.503808
              0.50821392                       4.5040926
              0.51367858                       4.5041183
              0.51914325                       4.5038977
              0.52460791                        4.503457
              0.53007258                       4.5028355
              0.53553725                       4.5020826
              0.54100191                        4.501256
              0.54646658                       4.5004185
              0.55193124                       4.4996343
              0.55739591                       4.4989658
              0.56286058                         4.49847
              0.56832524                       4.4981953
              0.57378991                       4.4981787
              0.57925457                       4.4984439
              0.58471924                       4.4989993
               0.5901839                       4.4998377
              0.59564857                       4.5009365
              0.60111324                       4.5022589
               0.6065779                       4.5037552
              0.61204257                       4.5053662
              0.61750723                       4.5070257
               0.6229719                       4.5086643
              0.62843656                       4.5102131
              0.63390123                       4.5116078
               0.6393659                       4.5127916
              0.64483056                       4.5137187
              0.65029523                       4.5143572
              0.65575989                       4.5146905
              0.66122456                       4.5147184
              0.66668923                       4.5144578
              0.67215389                       4.5139414
              0.67761856                       4.5132164
              0.68308322                       4.5123423
              0.68854789                       4.5113875
              0.69401255                       4.5104259
              0.69947722                       4.5095329
              0.70494189                       4.5087813
              0.71040655                       4.5082375
              0.71587122                       4.5079575
              0.72133588                       4.5079837
              0.72680055                       4.5083428
              0.73226521                       4.5090438
              0.73772988                       4.5100772
              0.74319455                       4.5114157
              0.74865921                       4.5130152
              0.75412388                       4.5148173
              0.75958854                       4.5167519
              0.76505321                       4.5187413
              0.77051787                        4.520704
              0.77598254                       4.5225596
              0.78144721                       4.5242325
              0.78691187                       4.5256564
              0.79237654                       4.5267778
               0.7978412                       4.5275593
              0.80330587                       4.5279812
              0.80877054                       4.5280434
               0.8142352                       4.5277652
              0.81969987                       4.5271846
              0.82516453                       4.5263567
               0.8306292                       4.5253504
              0.83609386                       4.5242457
              0.84155853                       4.5231289
               0.8470232                       4.5220883
              0.85248786                       4.5212093
              0.85795253                       4.5205698
              0.86341719                       4.5202362
              0.86888186                       4.5202591
              0.87434652                       4.5206707
              0.87981119                       4.5214827
              0.88527586                       4.5226856
              0.89074052                       4.5242488
              0.89620519                        4.526122
              0.90166985                        4.528238
              0.90713452                        4.530516
              0.91259919                       4.5328657
              0.91806385                       4.5351923
              0.92352852                       4.5374015
              0.92899318                       4.5394046
              0.93445785                       4.5411231
              0.93992251                        4.542493
              0.94538718                       4.5434686
              0.95085185                        4.544025
              0.95631651                       4.5441595
              0.96178118                       4.5438921
              0.96724584                       4.5432647
              0.97271051                        4.542339
              0.97817517                       4.5411938
              0.98363984                       4.5399208
              0.98910451                       4.5386196
              0.99456917                        4.537393
               1.0000338                       4.5363413
               1.0054985                       4.5355565
               1.0109632                       4.5351178
               1.0164278                        4.535087
               1.0218925                       4.5355046
               1.0273572                       4.5363879
               1.0328218                       4.5377293
               1.0382865                       4.5394968
               1.0437512                       4.5416352
               1.0492158                       4.5440693
               1.0546805                       4.5467072
               1.0601452                       4.5494457
               1.0656098                       4.5521751
               1.0710745                       4.5547856
               1.0765392                       4.5571729
               1.0820038                       4.5592435
               1.0874685                       4.5609203
               1.0929332                       4.5621466
               1.0983978                        4.562889
               1.1038625                       4.5631397
               1.1093272                       4.5629175
               1.1147918                       4.5622661
               1.1202565                       4.5612532
               1.1257212                       4.5599666
               1.1311858                       4.5585098
               1.1366505                       4.5569969
               1.1421151                       4.5555466
               1.1475798                       4.5542759
               1.1530445                       4.5532938
               1.1585091                       4.5526953
               1.1639738                       4.5525561
               1.1694385                       4.5529284
               1.1749031                       4.5538378
               1.1803678                       4.5552813
               1.1858325                       4.5572276
               1.1912971                       4.5596184
               1.1967618                       4.5623712
               1.2022265                       4.5653834
               1.2076911                       4.5685382
               1.2131558                       4.5717099
               1.2186205                       4.5747712
               1.2240851                       4.5775999
               1.2295498                        4.580085
               1.2350145                        4.582133
               1.2404791                       4.5836728
               1.2459438                       4.5846598
               1.2514085                       4.5850782
               1.2568731                       4.5849424
               1.2623378                       4.5842967
               1.2678025                       4.5832127
               1.2732671                       4.5817865
               1.2787318                       4.5801336
               1.2841965                        4.578383
               1.2896611                        4.576671
               1.2951258                       4.5751333
               1.3005905                       4.5738983
               1.3060551                       4.5730801
               1.3115198                       4.5727716
               1.3169845                       4.5730402
               1.3224491                        4.573923
               1.3279138                       4.5754248
               1.3333785                       4.5775176
               1.3388431                       4.5801419
               1.3443078                       4.5832091
               1.3497724                       4.5866066
               1.3552371                       4.5902034
               1.3607018                        4.593857
               1.3661664                        4.597421
               1.3716311                       4.6007524
               1.3770958                         4.60372
               1.3825604                       4.6062104
               1.3880251                        4.608135
               1.3934898                       4.6094341
               1.3989544                       4.6100808
               1.4044191                       4.6100824
               1.4098838                       4.6094806
               1.4153484                       4.6083494
               1.4208131                       4.6067921
               1.4262778                       4.6049355
               1.4317424                       4.6029244
               1.4372071                       4.6009135
               1.4426718                       4.5990596
               1.4481364                       4.5975133
               1.4536011                       4.5964106
               1.4590658                       4.5958657
               1.4645304                       4.5959648
               1.4699951                       4.5967602
               1.4754598                       4.5982683
               1.4809244                       4.6004673
               1.4863891                       4.6032989
               1.4918538                       4.6066703
               1.4973184                       4.6104597
               1.5027831                       4.6145221
               1.5082478                        4.618697
               1.5137124                        4.622817
               1.5191771                       4.6267165
               1.5246418                       4.6302402
               1.5301064                        4.633252
               1.5355711                       4.6356413
               1.5410357                         4.63733
               1.5465004                       4.6382759
               1.5519651                       4.6384758
               1.5574297                       4.6379659
               1.5628944                       4.6368202
               1.5683591                       4.6351473
               1.5738237                       4.6330851
               1.5792884                       4.6307938
               1.5847531                       4.6284479
               1.5902177                       4.6262272
               1.5956824                       4.6243071
               1.6011471                       4.6228494
               1.6066117                       4.6219933
               1.6120764                       4.6218479
               1.6175411                       4.6224854
               1.6230057                       4.6239373
               1.6284704                       4.6261923
               1.6339351                       4.6291958
               1.6393997                       4.6328535
               1.6448644                       4.6370354
               1.6503291                       4.6415829
               1.6557937                        4.646317
               1.6612584                       4.6510475
               1.6667231                       4.6555835
               1.6721877                        4.659743
               1.6776524                       4.6633626
               1.6831171                       4.6663064
               1.6885817                       4.6684726
               1.6940464                          4.6698
               1.6995111                       4.6702706
               1.7049757                       4.6699115
               1.7104404                       4.6687939
               1.7159051                       4.6670297
               1.7213697                       4.6647663
               1.7268344                       4.6621794
               1.7322991                       4.6594642
               1.7377637                       4.6568252
               1.7432284                       4.6544656
                1.748693                       4.6525765
               1.7541577                       4.6513266
               1.7596224                       4.6508524
                1.765087                        4.651251
               1.7705517                       4.6525738
               1.7760164                       4.6548238
                1.781481                       4.6579547
               1.7869457                       4.6618728
               1.7924104                       4.6664421
                1.797875                        4.671491
               1.8033397                       4.6768215
               1.8088044                       4.6822195
                1.814269                       4.6874659
               1.8197337                       4.6923486
               1.8251984                       4.6966729
                1.830663                       4.7002725
               1.8361277                       4.7030178
               1.8415924                       4.7048229
                1.847057                       4.7056508
               1.8525217                       4.7055152
               1.8579864                       4.7044807
                1.863451                       4.7026597
               1.8689157                       4.7002075
               1.8743804                       4.6973148
                1.879845                       4.6941977
               1.8853097                       4.6910875
               1.8907744                        4.688218
                1.896239                       4.6858135
               1.9017037                       4.6840765
               1.9071684                       4.6831767
                1.912633                       4.6832411
               1.9180977                        4.684347
               1.9235624                       4.6865167
                1.929027                       4.6897163
               1.9344917                       4.6938569
               1.9399564                       4.6987988
                1.945421                       4.7043587
               1.9508857                       4.7103196
               1.9563503                        4.716442
                1.961815                       4.7224764
               1.9672797                       4.7281766
               1.9727443                       4.7333126
                1.978209                       4.7376824
               1.9836737                       4.7411228
               1.9891383                       4.7435182
                1.994603                       4.7448065
               2.0000677                       4.7449832
               2.0055323                       4.7441019
                2.010997                       4.7422721
               2.0164617                       4.7396547
               2.0219263                       4.7364539
                2.027391                       4.7329072
               2.0328557                       4.7292739
               2.0383203                       4.7258214
                2.043785                       4.7228112
               2.0492497                       4.7204848
               2.0547143                       4.7190506
                2.060179                       4.7186721
               2.0656437                       4.7194583
               2.0711083                       4.7214574
                2.076573                       4.7246533
               2.0820377                       4.7289661
               2.0875023                       4.7342559
                2.092967                       4.7403297
               2.0984317                       4.7469519
               2.1038963                       4.7538564
                2.109361                        4.760761
               2.1148257                       4.7673818
               2.1202903                       4.7734481
                2.125755                        4.778717
               2.1312197                       4.7829856
               2.1366843                       4.7861018
                2.142149                       4.7879724
               2.1476137                       4.7885686
               2.1530783                       4.7879277
                2.158543                       4.7861521
               2.1640076                       4.7834048
               2.1694723                       4.7799019
                2.174937                       4.7759022
               2.1804016                        4.771694
               2.1858663                        4.767581
                2.191331                       4.7638661
               2.1967956                       4.7608353
               2.2022603                       4.7587423
                2.207725                       4.7577938
               2.2131896                       4.7581384
               2.2186543                        4.759857
                2.224119                        4.762958
               2.2295836                       4.7673762
               2.2350483                       4.7729757
                2.240513                       4.7795565
               2.2459776                       4.7868655
               2.2514423                       4.7946095
                2.256907                       4.8024709
               2.2623716                       4.8101242
               2.2678363                       4.8172531
                2.273301                       4.8235672
               2.2787656                       4.8288169
               2.2842303                       4.8328063
                2.289695                        4.835404
               2.2951596                       4.8365495
               2.3006243                       4.8362577
                2.306089                       4.8346183
               2.3115536                       4.8317926
               2.3170183                       4.8280058
                2.322483                       4.8235366
               2.3279476                       4.8187036
               2.3334123                       4.8138493
                2.338877                       4.8093222
               2.3443416                       4.8054589
               2.3498063                       4.8025652
                2.355271                       4.8008996
               2.3607356                       4.8006583
               2.3662003                       4.8019635
               2.3716649                       4.8048562
               2.3771296                       4.8092927
               2.3825943                       4.8151467
               2.3880589                       4.8222151
               2.3935236                        4.830229
               2.3989883                       4.8388679
               2.4044529                       4.8477767
               2.4099176                       4.8565841
               2.4153823                       4.8649226
               2.4208469                       4.8724475
               2.4263116                       4.8788544
               2.4317763                       4.8838954
               2.4372409                       4.8873919
               2.4427056                       4.8892439
               2.4481703                       4.8894358
               2.4536349                       4.8880382
               2.4590996                       4.8852052
               2.4645643                       4.8811676
               2.4700289                       4.8762223
               2.4754936                       4.8707184
               2.4809583                       4.8650393
               2.4864229                       4.8595839
               2.4918876                       4.8547451
               2.4973523                       4.8508892
               2.5028169                       4.8483352
               2.5082816                       4.8473369
               2.5137463                       4.8480681
               2.5192109                       4.8506117
               2.5246756                       4.8549544
               2.5301403                       4.8609862
               2.5356049                       4.8685062
               2.5410696                       4.8772327
               2.5465343                       4.8868181
               2.5519989                        4.896868
               2.5574636                       4.9069613
               2.5629283                       4.9166732
               2.5683929                       4.9255966
