        Frequency / GHz                Y (2)/abs,linear
----------------------------------------------------------------------
                       0                       2.4951168
            0.0054646658                       2.4935801
             0.010929332                       2.4890414
             0.016393997                       2.4817124
             0.021858663                       2.4719373
             0.027323329                       2.4601802
             0.032787995                       2.4470061
              0.03825266                       2.4330583
             0.043717326                        2.419029
             0.049181992                       2.4056272
             0.054646658                       2.3935424
             0.060111324                       2.3834068
             0.065575989                       2.3757597
             0.071040655                       2.3710139
             0.076505321                         2.36943
             0.081969987                       2.3710994
             0.087434652                       2.3759379
             0.092899318                       2.3836911
             0.098363984                        2.393951
              0.10382865                       2.4061818
              0.10929332                       2.4197516
              0.11475798                       2.4339696
              0.12022265                       2.4481233
              0.12568731                       2.4615144
              0.13115198                       2.4734927
              0.13661664                       2.4834845
              0.14208131                       2.4910169
              0.14754598                        2.495737
              0.15301064                       2.4974245
              0.15847531                       2.4960009
              0.16393997                       2.4915322
              0.16940464                       2.4842269
               0.1748693                       2.4744286
              0.18033397                       2.4626036
              0.18579864                       2.4493228
               0.1912633                       2.4352379
              0.19672797                       2.4210532
              0.20219263                       2.4074921
               0.2076573                       2.3952602
              0.21312197                       2.3850071
              0.21858663                       2.3772887
               0.2240513                       2.3725331
              0.22951596                       2.3710132
              0.23498063                       2.3728283
              0.24044529                       2.3778975
              0.24590996                        2.385964
              0.25137463                       2.3966123
              0.25683929                       2.4092936
              0.26230396                       2.4233598
              0.26776862                       2.4380999
              0.27323329                       2.4527797
              0.27869795                       2.4666786
              0.28416262                       2.4791242
              0.28962729                       2.4895226
              0.29509195                       2.4973829
              0.30055662                       2.5023371
              0.30602128                       2.5041547
              0.31148595                       2.5027509
              0.31695062                       2.4981907
              0.32241528                       2.4906869
              0.32787995                       2.4805934
              0.33334461                       2.4683921
              0.33880928                       2.4546748
              0.34427394                       2.4401192
              0.34973861                       2.4254594
              0.35520328                       2.4114507
              0.36066794                       2.3988319
              0.36613261                       2.3882843
              0.37159727                       2.3803919
              0.37706194                       2.3756051
               0.3825266                       2.3742113
              0.38799127                       2.3763151
              0.39345594                       2.3818308
               0.3989206                       2.3904872
              0.40438527                       2.4018453
              0.40984993                       2.4153257
               0.4153146                       2.4302442
              0.42077926                       2.4458512
              0.42624393                       2.4613726
               0.4317086                       2.4760497
              0.43717326                        2.489175
              0.44263793                       2.5001243
              0.44810259                       2.5083822
              0.45356726                       2.5135632
              0.45903193                       2.5154266
              0.46449659                       2.5138858
              0.46996126                       2.5090122
              0.47542592                       2.5010335
              0.48089059                       2.4903269
              0.48635525                       2.4774054
              0.49181992                       2.4628992
              0.49728459                       2.4475303
              0.50274925                       2.4320808
              0.50821392                       2.4173563
              0.51367858                       2.4041446
              0.51914325                       2.3931717
              0.52460791                       2.3850589
              0.53007258                       2.3802832
              0.53553725                       2.3791452
              0.54100191                       2.3817481
              0.54646658                       2.3879899
              0.55193124                        2.397569
              0.55739591                       2.4100038
              0.56286058                       2.4246638
              0.56832524                       2.4408078
              0.57378991                       2.4576277
              0.57925457                       2.4742921
              0.58471924                       2.4899893
               0.5901839                       2.5039655
              0.59564857                       2.5155583
              0.60111324                       2.5242244
               0.6065779                       2.5295606
              0.61204257                       2.5313199
              0.61750723                       2.5294209
               0.6229719                       2.5239518
              0.62843656                       2.5151685
              0.63390123                        2.503487
               0.6393659                       2.4894693
              0.64483056                        2.473803
              0.65029523                       2.4572738
              0.65575989                       2.4407316
              0.66122456                         2.42505
              0.66668923                       2.4110812
              0.67215389                       2.3996077
              0.67761856                       2.3912947
              0.68308322                       2.3866466
              0.68854789                       2.3859725
              0.69401255                       2.3893633
              0.69947722                       2.3966842
              0.70494189                       2.4075829
              0.71040655                       2.4215131
              0.71587122                       2.4377695
              0.72133588                       2.4555318
              0.72680055                       2.4739126
              0.73226521                       2.4920064
              0.73772988                       2.5089349
              0.74319455                       2.5238889
              0.74865921                        2.536163
              0.75412388                       2.5451846
              0.75958854                       2.5505364
              0.76505321                       2.5519718
              0.77051787                       2.5494249
              0.77598254                        2.543014
              0.78144721                       2.5330391
              0.78691187                       2.5199736
              0.79237654                       2.5044484
               0.7978412                       2.4872293
              0.80330587                       2.4691872
              0.80877054                         2.45126
               0.8142352                       2.4344076
              0.81969987                       2.4195616
