        Distance / mm                Charge distribution (distance) (xtest=5)/real
----------------------------------------------------------------------
              -160.18113                   2.8721691e-24
              -159.86045                   3.3242214e-24
              -159.53977                   3.8462957e-24
              -159.21908                   4.4490591e-24
               -158.8984                    5.144776e-24
              -158.57772                   5.9475424e-24
              -158.25704                    6.873555e-24
              -157.93635                   7.9414181e-24
              -157.61567                   9.1724953e-24
              -157.29499                   1.0591311e-23
               -156.9743                    1.222601e-23
              -156.65362                   1.4108879e-23
              -156.33294                   1.6276953e-23
              -156.01226                   1.8772688e-23
              -155.69157                   2.1644752e-23
              -155.37089                   2.4948909e-23
              -155.05021                   2.8749035e-23
              -154.72952                   3.3118281e-23
              -154.40884                   3.8140385e-23
              -154.08816                   4.3911185e-23
              -153.76747                   5.0540324e-23
              -153.44679                   5.8153207e-23
              -153.12611                   6.6893221e-23
              -152.80543                    7.692426e-23
              -152.48474                   8.8433606e-23
              -152.16406                    1.016352e-22
              -151.84338                   1.1677334e-22
              -151.52269                   1.3412696e-22
              -151.20201                   1.5401436e-22
              -150.88133                   1.7679874e-22
              -150.56064                   2.0289432e-22
              -150.23996                   2.3277342e-22
              -149.91928                   2.6697444e-22
               -149.5986                   3.0611088e-22
              -149.27791                   3.5088162e-22
              -148.95723                   4.0208259e-22
              -148.63655                   4.6061991e-22
              -148.31586                   5.2752486e-22
              -147.99518                   6.0397079e-22
               -147.6745                   6.9129232e-22
              -147.35382                   7.9100697e-22
              -147.03313                   9.0483976e-22
              -146.71245                   1.0347509e-21
              -146.39177                   1.1829674e-21
              -146.07108                    1.352018e-21
               -145.7504                   1.5447741e-21
              -145.42972                   1.7644944e-21
              -145.10903                   2.0148762e-21
              -144.78835                   2.3001133e-21
              -144.46767                   2.6249611e-21
              -144.14699                   2.9948102e-21
               -143.8263                   3.4157693e-21
              -143.50562                   3.8947585e-21
              -143.18494                   4.4396152e-21
              -142.86425                   5.0592124e-21
              -142.54357                   5.7635926e-21
              -142.22289                   6.5641187e-21
              -141.90221                   7.4736432e-21
              -141.58152                   8.5066993e-21
