        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_81/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                               0
               0.0905126                               0
               0.0924384                               0
               0.0943642                               0
                 0.09629                               0
               0.0982158                               0
               0.1001416                               0
               0.1020674                               0
               0.1039932                               0
                0.105919                               0
               0.1078448                               0
               0.1097706                               0
               0.1116964                               0
               0.1136222                               0
                0.115548                               0
               0.1174738                               0
               0.1193996                               0
               0.1213254                               0
               0.1232512                               0
                0.125177                               0
               0.1271028                               0
               0.1290286                               0
               0.1309544                               0
               0.1328802                               0
                0.134806                               0
               0.1367318                               0
               0.1386576                               0
               0.1405834                               0
               0.1425092                               0
                0.144435                               0
               0.1463608                               0
               0.1482866                               0
               0.1502124                               0
               0.1521382                               0
                0.154064                               0
               0.1559898                               0
               0.1579156                               0
               0.1598414                               0
               0.1617672                               0
                0.163693                               0
               0.1656188                               0
               0.1675446                               0
               0.1694704                               0
               0.1713962                               0
                0.173322                               0
               0.1752478                               0
               0.1771736                               0
               0.1790994                               0
               0.1810252                               0
                0.182951                  -1.0286792e-35
               0.1848768                  -1.2163652e-34
               0.1868026                  -6.3116066e-34
               0.1887284                   -5.350094e-34
               0.1906542                  -3.8175957e-33
                 0.19258                  -3.4663121e-33
               0.1945058                  -2.0153663e-33
               0.1964316                  -4.4376028e-33
               0.1983574                   -1.471466e-32
               0.2002832                  -8.4714116e-32
                0.202209                  -6.4571438e-31
               0.2041348                   -4.655895e-30
               0.2060606                   -4.655895e-30
               0.2079864                   -3.095933e-29
               0.2099122                  -1.9095227e-28
                0.211838                  -1.0988005e-27
               0.2137638                  -5.9303805e-27
               0.2156896                   -3.013644e-26
               0.2176154                  -1.4482121e-25
               0.2195412                  -6.5978408e-25
                0.221467                   -2.858997e-24
               0.2233928                  -1.1810018e-23
               0.2253186                  -4.6608572e-23
               0.2272444                  -1.7607495e-22
               0.2291702                  -6.3787242e-22
                0.231096                  -2.2191644e-21
               0.2330218                  -7.4248798e-21
               0.2349476                   -2.391794e-20
               0.2368734                  -7.4274628e-20
               0.2387992                  -2.2257277e-19
                0.240725                  -6.4413107e-19
               0.2426508                  -1.8020423e-18
               0.2445766                  -4.8763439e-18
               0.2465024                  -1.2773225e-17
               0.2484282                  -3.2405466e-17
                0.250354                  -7.9664269e-17
               0.2522798                  -1.8985954e-16
               0.2542056                  -4.3884184e-16
               0.2561314                  -9.8403428e-16
               0.2580572                   -2.141196e-15
                0.259983                  -4.5223352e-15
               0.2619088                  -9.2714786e-15
               0.2638346                  -1.8453263e-14
               0.2657604                  -3.5657319e-14
               0.2676862                  -6.6890063e-14
                0.269612                  -1.2179545e-13
               0.2715378                  -2.1522508e-13
               0.2734636                   -3.689997e-13
               0.2753894                  -6.1357489e-13
               0.2773152                  -9.8907113e-13
                0.279241                  -1.5447773e-12
               0.2811668                  -2.3362115e-12
               0.2830926                  -3.4181841e-12
               0.2850184                  -4.8346084e-12
               0.2869442                  -6.6042874e-12
                 0.28887                   -8.704224e-12
               0.2907958                  -1.1058923e-11
               0.2927216                  -1.3538121e-11
               0.2946474                  -1.5972997e-11
               0.2965732                  -1.8201133e-11
                0.298499                  -2.0137789e-11
               0.3004248                  -2.1877803e-11
               0.3023506                    -2.37941e-11
               0.3042764                  -2.6633499e-11
               0.3062022                  -3.1539688e-11
                0.308128                   -4.001291e-11
               0.3100538                  -5.3745255e-11
               0.3119796                  -7.4398945e-11
