        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_72/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                               0
               0.0905126                               0
               0.0924384                               0
               0.0943642                               0
                 0.09629                               0
               0.0982158                               0
               0.1001416                               0
               0.1020674                               0
               0.1039932                               0
                0.105919                               0
               0.1078448                               0
               0.1097706                               0
               0.1116964                               0
               0.1136222                               0
                0.115548                               0
               0.1174738                               0
               0.1193996                               0
               0.1213254                               0
               0.1232512                               0
                0.125177                               0
               0.1271028                               0
               0.1290286                               0
               0.1309544                               0
               0.1328802                               0
                0.134806                               0
               0.1367318                               0
               0.1386576                               0
               0.1405834                               0
               0.1425092                               0
                0.144435                               0
               0.1463608                               0
               0.1482866                               0
               0.1502124                               0
               0.1521382                               0
                0.154064                               0
               0.1559898                               0
               0.1579156                               0
               0.1598414                  -4.4277193e-35
               0.1617672                  -3.5324225e-34
                0.163693                  -4.2770417e-34
               0.1656188                  -4.2321727e-33
               0.1675446                  -2.7706795e-33
               0.1694704                  -1.7814089e-34
               0.1713962                  -3.1185399e-33
                0.173322                  -5.4736288e-33
               0.1752478                  -1.1356009e-32
               0.1771736                   -1.731033e-31
               0.1790994                  -2.0108601e-30
               0.1810252                   -1.898728e-29
                0.182951                  -1.5625664e-28
               0.1848768                  -1.1471428e-27
               0.1868026                  -7.6203386e-27
               0.1887284                  -4.6461165e-26
               0.1906542                  -2.6165658e-25
                 0.19258                  -1.3706147e-24
               0.1945058                  -6.7234875e-24
               0.1964316                  -3.0987169e-23
               0.1983574                   -1.348001e-22
               0.2002832                  -5.5508797e-22
                0.202209                  -2.1695162e-21
               0.2041348                  -8.0721664e-21
               0.2060606                  -8.0721664e-21
               0.2079864                  -2.8652496e-20
               0.2099122                  -9.7209167e-20
                0.211838                  -3.1575418e-19
               0.2137638                  -9.8365248e-19
               0.2156896                  -2.9426419e-18
               0.2176154                  -8.4646062e-18
               0.2195412                  -2.3437721e-17
                0.221467                  -6.2531056e-17
               0.2233928                  -1.6089597e-16
               0.2253186                  -3.9959123e-16
               0.2272444                  -9.5849846e-16
               0.2291702                  -2.2219813e-15
                0.231096                  -4.9807646e-15
               0.2330218                  -1.0801294e-14
               0.2349476                  -2.2667462e-14
               0.2368734                  -4.6052355e-14
               0.2387992                  -9.0594666e-14
                0.240725                   -1.726015e-13
               0.2426508                  -3.1849854e-13
               0.2445766                  -5.6925504e-13
               0.2465024                  -9.8545651e-13
               0.2484282                  -1.6521842e-12
                0.250354                  -2.6822698e-12
               0.2522798                  -4.2157328e-12
               0.2542056                  -6.4132987e-12
               0.2561314                  -9.4410174e-12
               0.2580572                  -1.3445918e-11
                0.259983                  -1.8524883e-11
               0.2619088                  -2.4693452e-11
               0.2638346                  -3.1865462e-11
               0.2657604                  -3.9859518e-11
               0.2676862                  -4.8451916e-11
                0.269612                  -5.7487362e-11
               0.2715378                  -6.7041941e-11
               0.2734636                  -7.7631276e-11
               0.2753894                  -9.0405128e-11
               0.2773152                  -1.0731211e-10
                0.279241                   -1.311061e-10
               0.2811668                  -1.6522758e-10
               0.2830926                  -2.1355093e-10
               0.2850184                  -2.8000879e-10
               0.2869442                  -3.6829956e-10
                 0.28887                  -4.8180998e-10
               0.2907958                  -6.2388172e-10
               0.2927216                  -7.9846008e-10
               0.2946474                  -1.0111543e-09
               0.2965732                  -1.2704839e-09
                0.298499                  -1.5889723e-09
               0.3004248                  -1.9840014e-09
