        s / mm                Z/real
----------------------------------------------------------------------
              -160.18114                  -3.1524716e-18
              -159.60107                  -5.8468983e-18
                -159.021                  -1.0615741e-17
              -158.44093                  -1.8860051e-17
              -157.86086                  -3.2770102e-17
               -157.2808                  -5.5653578e-17
              -156.70073                  -9.2320036e-17
              -156.12066                  -1.4947483e-16
              -155.54059                  -2.3603228e-16
              -154.96052                  -3.6321552e-16
              -154.38045                  -5.4428753e-16
              -153.80038                  -7.9376865e-16
              -153.22031                  -1.1261145e-15
              -152.64025                   -1.554081e-15
              -152.06018                  -2.0873174e-15
              -151.48011                  -2.7321668e-15
              -150.90004                  -3.4938967e-15
              -150.31997                  -4.3825398e-15
               -149.7399                  -5.4228679e-15
              -149.15983                  -6.6675969e-15
              -148.57976                   -8.211265e-15
               -147.9997                  -1.0200674e-14
              -147.41963                  -1.2837351e-14
              -146.83956                  -1.6369223e-14
              -146.25949                   -2.107368e-14
              -145.67942                  -2.7238452e-14
              -145.09935                  -3.5153023e-14
              -144.51928                  -4.5124373e-14
              -143.93921                  -5.7523661e-14
              -143.35915                  -7.2861899e-14
              -142.77908                  -9.1879929e-14
              -142.19901                  -1.1562839e-13
              -141.61894                  -1.4551601e-13
              -141.03887                   -1.833224e-13
               -140.4588                  -2.3119593e-13
              -139.87873                  -2.9167199e-13
              -139.29866                  -3.6775539e-13
               -138.7186                  -4.6309459e-13
              -138.13853                  -5.8224893e-13
              -137.55846                  -7.3099625e-13
              -136.97839                  -9.1665676e-13
              -136.39832                  -1.1484185e-12
              -135.81825                  -1.4376532e-12
              -135.23818                  -1.7983069e-12
              -134.65811                  -2.2474835e-12
              -134.07805                   -2.806187e-12
              -133.49798                  -3.5003035e-12
              -132.91791                  -4.3618016e-12
              -132.33784                  -5.4301346e-12
              -131.75777                  -6.7538146e-12
               -131.1777                  -8.3923761e-12
              -130.59763                  -1.0418759e-11
              -130.01756                   -1.292223e-11
               -129.4375                  -1.6012072e-11
              -128.85743                   -1.982201e-11
              -128.27736                   -2.451537e-11
              -127.69729                  -3.0291523e-11
              -127.11722                   -3.739346e-11
              -126.53715                  -4.6117025e-11
              -125.95708                  -5.6822125e-11
