        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_90/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                               0
               0.0905126                               0
               0.0924384                               0
               0.0943642                               0
                 0.09629                               0
               0.0982158                               0
               0.1001416                               0
               0.1020674                               0
               0.1039932                               0
                0.105919                               0
               0.1078448                               0
               0.1097706                               0
               0.1116964                               0
               0.1136222                               0
                0.115548                               0
               0.1174738                               0
               0.1193996                               0
               0.1213254                               0
               0.1232512                               0
                0.125177                               0
               0.1271028                               0
               0.1290286                               0
               0.1309544                               0
               0.1328802                               0
                0.134806                               0
               0.1367318                               0
               0.1386576                               0
               0.1405834                               0
               0.1425092                               0
                0.144435                               0
               0.1463608                               0
               0.1482866                               0
               0.1502124                               0
               0.1521382                               0
                0.154064                               0
               0.1559898                               0
               0.1579156                               0
               0.1598414                               0
               0.1617672                               0
                0.163693                               0
               0.1656188                               0
               0.1675446                               0
               0.1694704                               0
               0.1713962                               0
                0.173322                               0
               0.1752478                               0
               0.1771736                               0
               0.1790994                               0
               0.1810252                               0
                0.182951                               0
               0.1848768                               0
               0.1868026                               0
               0.1887284                               0
               0.1906542                               0
                 0.19258                               0
               0.1945058                               0
               0.1964316                               0
               0.1983574                               0
               0.2002832                               0
                0.202209                               0
               0.2041348                               0
               0.2060606                               0
               0.2079864                  -8.9421406e-36
               0.2099122                  -8.5252418e-35
                0.211838                   -3.957423e-34
               0.2137638                  -4.3464009e-34
               0.2156896                  -2.9634734e-33
               0.2176154                  -2.3529621e-33
               0.2195412                   -2.081741e-33
                0.221467                   -4.086627e-33
               0.2233928                  -1.2341586e-32
               0.2253186                  -6.6485208e-32
               0.2272444                  -3.6663721e-31
               0.2291702                  -2.1627877e-30
                0.231096                  -1.2044191e-29
               0.2330218                  -6.3507257e-29
               0.2349476                  -3.1807968e-28
               0.2368734                  -1.5168293e-27
               0.2387992                  -6.9039543e-27
                0.240725                  -3.0055135e-26
               0.2426508                   -1.253825e-25
               0.2445766                  -5.0216469e-25
               0.2465024                  -1.9338308e-24
               0.2484282                  -7.1692854e-24
                0.250354                  -2.5623015e-23
               0.2522798                  -8.8383585e-23
               0.2542056                  -2.9453103e-22
               0.2561314                  -9.4925266e-22
               0.2580572                  -2.9607821e-21
                0.259983                  -8.9454777e-21
               0.2619088                  -2.6199346e-20
               0.2638346                  -7.4423753e-20
               0.2657604                  -2.0517428e-19
               0.2676862                  -5.4927957e-19
                0.269612                  -1.4285306e-18
               0.2715378                  -3.6107906e-18
               0.2734636                  -8.8739928e-18
               0.2753894                  -2.1210848e-17
               0.2773152                   -4.932482e-17
                0.279241                  -1.1161857e-16
               0.2811668                  -2.4583188e-16
               0.2830926                  -5.2705217e-16
               0.2850184                  -1.1000596e-15
               0.2869442                  -2.2354406e-15
                 0.28887                  -4.4223582e-15
               0.2907958                  -8.5173635e-15
               0.2927216                  -1.5968557e-14
               0.2946474                  -2.9136544e-14
               0.2965732                  -5.1728546e-14
                0.298499                  -8.9331591e-14
               0.3004248                  -1.4999785e-13
               0.3023506                  -2.4476748e-13
               0.3042764                  -3.8789257e-13
               0.3062022                  -5.9654506e-13
                0.308128                  -8.8951936e-13
               0.3100538                  -1.2846581e-12
               0.3119796                  -1.7946573e-12
               0.3139054                  -2.4211637e-12
               0.3158312                  -3.1486682e-12
                0.317757                  -3.9388362e-12
               0.3196828                  -4.7292092e-12
               0.3216086                  -5.4356411e-12
               0.3235344                  -5.9701892e-12
